WaterProviderName,FIPS_ID,FIPS_ID_Flag,GNIS_ID,GNIS_ID_Flag,DOLA_LG_ID,DOLA_LG_ID_Flag,BNDSS_ID,BNDSS_ID_Flag,PWS_ID,PWS_ID_Flag,BusinessEntity_ID,BusinessEntity_ID_Flag,OWF_ID,OWF_ID_Flag,LocalGovtType,EntityStartYear,EntityStartYear_Flag,EntityEndYear,EntityEndYear_Flag,County_CSV,NumCounty,IBCC_Basin,Latitude,Longitude,Lat_Long_Flag,Website,Website_Flag,WaterEfficiencyPlan_URL,WaterForecast_URL,Comment
"Akron, Town of",925,G,2412340,G,61002,G,Akron,G,CO0161001,G,,N,Akron,G,Municipality,,x,,x,Washington,1,South Platte,40.163374,-103.220269,G,www.townofakron.com,G,None,,
"Alma, Town of",1530,G,2412350,G,47001,G,Alma,G,CO0147001,G,,N,Alma,G,Municipality,,x,,x,Park,1,South Platte,39.285945,-106.067034,G,http://www.townofalma.com/,G,None,,
"Arriba, Town of",3235,G,2411647,G,37002,G,Arriba,G,CO0137001,G,,N,Arriba,G,Municipality,,x,,x,Lincoln,1,South Platte,39.284338,-103.274051,G,https://www.colorado.gov/arriba,G,None,,
"Ault, Town of",3950,G,2411653,G,62003,G,,M,CO0162125,G,,N,Ault,C,Municipality,,x,,x,Weld,1,South Platte,40.589343,-104.740423,G,http://www.townofault.org/,G,None,,Not in the original BNDSS list
Bailey Water and Sanitation District,,N,,N,47002,G,BaileyWSD,G,CO0147010,G,,N,BaileyWSD,G,Water and Sanitation District,,x,,x,Park,1,South Platte,39.406667,-105.480359,G,http://baileywater-org.webs.com/,G,None,,Not in the Covered Entities database
"Bennett, Town of",6090,G,2411676,G,64258,G,Bennett,G,CO0101020,G,,N,Bennett,G,Municipality,,x,,x,"Adams, Arapahoe",2,South Platte,39.736358,-104.428527,G,https://www.colorado.gov/townofbennett,G,,,
"Berthoud, Town of",6255,G,2411681,G,64237,G,Berthoud,G,CO0135138,G,,N,Berthoud,G,Municipality,,x,,x,"Larimer, Weld",2,South Platte,40.307017,-105.041523,G,http://www.berthoud.org/,G,,,
"Bethune, Town of",6530,G,2411684,G,32001,G,Bethune,G,CO0132001,G,,N,Bethune,G,Municipality,,x,,x,Kit Carson,1,South Platte,39.303822,-102.423414,G,,M,,,
"Black Hawk, City of",7025,G,2409856,G,24001,G,BlackHawk,G,CO0124147,G,,N,BlackHawk,G,Municipality,,x,,x,Gilpin,1,South Platte,39.804295,-105.494544,G,http://www.cityofblackhawk.org/,G,,,
"Boulder, City of",7850,G,2409883,G,7006,G,Boulder,G,CO0107152,G,,N,Boulder,G,Municipality,,x,,x,Boulder,1,South Platte,40.027293,-105.251551,G,https://bouldercolorado.gov/,G,https://www-static.bouldercolorado.gov/docs/WEP_October_Final-1-201610180831.pdf,,
"Broomfield, City and County of",9280,G,2409919,G,64030,G,Broomfield,G,CO0107155,G,,N,Broomfield,G,Municipality,,x,,x,Broomfield,1,South Platte,39.954161,-105.052589,G,https://www.broomfield.org/,G,None,,
"Brush, City of",9555,G,2409926,G,44001,G,Brush,G,CO0144001,G,,N,Brush,G,Municipality,,x,,x,Morgan,1,South Platte,40.258147,-103.632022,G,http://www.brushcolo.com/,G,,,
Buffalo Creek Water District,,N,,N,30146,G,BuffaloCreekWD,G,CO0130015,G,,N,BuffaloCreekWD,G,Water District,,x,,x,Jefferson,1,South Platte,39.38475,-105.269526,G,,M,None,,
"Burlington, City of",10600,G,2409946,G,32004,G,Burlington,G,CO0132005,G,,N,Burlington,G,Municipality,,x,,x,Kit Carson,1,South Platte,39.304205,-102.271483,G,http://www.burlingtoncolo.com/,G,,,
"Central City, City of",12910,G,2409427,G,64263,G,CentralCity,G,CO0124171,G,,N,CentralCity,G,Municipality,,x,,x,"Clear Creek, Gilpin",2,South Platte,39.797462,-105.516892,G,https://www.colorado.gov/centralcity,G,,,
Central Weld County Water District,,N,,N,62005,G,CWCWD,G,CO0162122,G,,N,CWCWD,G,Water District,,x,,x,Weld,1,South Platte,40.274417,-104.715642,G,www.cwcwd.com,G,None,,
"Cheyenne Wells, Town of",14175,G,2413197,G,9007,G,,M,CO0109006,G,,N,CheyenneWells,C,Municipality,,x,,x,Cheyenne,1,South Platte,38.819202,-102.35203,G,http://townofcheyennewells.com/,G,,,Not in the original BNDSS list
"Crook, Town of",18640,G,2412389,G,38002,G,,M,CO0138005,G,,N,Crook,C,Municipality,,x,,x,Logan,1,South Platte,40.859165,-102.801366,G,,M,,,Not in the original BNDSS list
"Dacono, City of",19080,G,2410283,G,62007,G,Dacono,G,CO0162200,G,,N,Dacono,G,Municipality,,x,,x,Weld,1,South Platte,40.062017,-104.948282,G,http://www.ci.dacono.co.us/,G,http://www.ci.dacono.co.us/DocumentCenter/Home/View/621,,
"Deer Trail, Town of",19630,G,2412415,G,3033,G,,M,CO0103030,G,,N,DeerTrail,C,Municipality,,x,,x,Arapahoe,1,South Platte,39.615363,-104.043303,G,http://www.townofdeertrail.co/,G,,,Not in the original BNDSS list
East Boulder County Water District,,N,,N,7071,G,EBoulderCoWD,G,CO0107236,G,,N,EBoulderCoWD,G,Water District,,x,,x,Boulder,1,South Platte,39.97726,-105.177988,G,www.eastboulderwater.com/,G,,,
East Larimer County Water District,,N,,N,64056,G,ELCO,G,CO0135233,G,,N,ELCO,G,Water District,,x,,x,"Larimer, Weld",2,South Platte,40.616102,-105.015072,G,www.elcowater.org,G,,,
"Eaton, Town of",22860,G,2412462,G,62008,G,Eaton,G,CO0162233,G,,N,Eaton,G,Municipality,,x,,x,Weld,1,South Platte,40.527223,-104.712559,G,http://www.eatonco.org/,G,http://cwcbweblink.state.co.us/WebLink/0/doc/168011/Page14.aspx,,
"Eckley, Town of",23025,G,2412464,G,63003,G,Eckley,G,CO0163001,G,,N,Eckley,G,Municipality,,x,,x,Yuma,1,South Platte,40.112252,-102.488307,G,http://townofeckley.weebly.com/,G,,,
"Elizabeth, Town of",23740,G,2412474,G,20004,G,,M,CO0120010,G,,N,Elizabeth,C,Municipality,,x,,x,Elbert,1,South Platte,39.361015,-104.606172,G,http://www.townofelizabeth.org/,G,,,Not in the original BNDSS list
"Empire, Town of",24620,G,2412485,G,10005,G,Empire,G,CO0110010,G,,N,Empire,G,Municipality,,x,,x,Clear Creek,1,South Platte,39.759449,-105.682783,G,,M,,,
"Erie, Town of",24950,G,2412599,G,64060,G,Erie,G,CO0162255,G,,N,Erie,G,Municipality,,x,,x,"Boulder, Weld",2,South Platte,40.040157,-105.040252,G,https://www.erieco.gov/,G,https://www.erieco.gov/DocumentCenter/Home/View/245,,
"Estes Park, Town of",25115,G,2412603,G,35004,G,EstesPark,G,CO0135257,G,,N,EstesPark,G,Municipality,,x,,x,Larimer,1,South Platte,40.36987,-105.521623,G,https://www.colorado.gov/townofestespark,G,http://cwcbweblink.state.co.us/WebLink/0/doc/171817/Electronic.aspx,,
"Evans, City of",25280,G,2410467,G,62011,G,Evans,G,CO0162260,G,,N,Evans,G,Municipality,,x,,x,Weld,1,South Platte,40.366034,-104.738911,G,http://www.evanscolorado.gov/,G,http://www.evanscolorado.gov/sites/default/files/fileattachments/public_works/page/478/water_conservation_plan.adopted.pdf,,
"Fairplay, Town of",25610,G,2412616,G,47005,G,Fairplay,G,CO0147020,G,,N,Fairplay,G,Municipality,,x,,x,Park,1,South Platte,39.224496,-105.996948,G,http://fairplayco.us/,G,,,
"Firestone, Town of",26600,G,2412626,G,62012,G,Firestone,G,CO0162476,G,,N,Firestone,G,Municipality,,x,,x,Weld,1,South Platte,40.156383,-104.94947,G,http://www.firestoneco.gov/,G,http://www.firestoneco.gov/DocumentCenter/View/698,,
"Flagler, Town of",26765,G,2412628,G,32010,G,Flagler,G,CO0132010,G,,N,Flagler,G,Municipality,,x,,x,Kit Carson,1,South Platte,39.294399,-103.075062,G,http://flaglercolorado.com/,G,,,
"Fleming, Town of",26875,G,2412631,G,38005,G,,M,CO0138010,G,,N,Fleming,C,Municipality,,x,,x,Logan,1,South Platte,40.681191,-102.839506,G,,M,,,Not in the original BNDSS list
"Fort Collins, City of",27425,G,2410526,G,35009,G,FtCollins,G,CO0135291,G,,N,FtCollins,G,Municipality,,x,,x,Larimer,1,South Platte,40.54776,-105.065725,G,https://www.fcgov.com/,G,https://www.fcgov.com/utilities/img/site_specific/uploads/WEP_2015-17_FullDraft_NoWaterMark_v9.pdf,,
Fort Collins-Loveland Water District,,N,,N,35007,G,FCLWD,G,CO0135292,G,,N,FCLWD,G,Water District,,x,,x,"Larimer, Weld",2,South Platte,40.49224,-105.034918,G,www.fclwd.com,G,,,
"Fort Lupton, City of",27700,G,2410528,G,62014,G,FtLupton,G,CO0162291,G,,N,FtLupton,G,Municipality,,x,,x,Weld,1,South Platte,40.084165,-104.802365,G,http://www.fortlupton.org/,G,http://www.fortlupton.org/Archive/ViewFile/Item/59,,
"Fort Morgan, City of",27810,G,2410529,G,44006,G,FtMorgan,G,CO0144005,G,,N,FtMorgan,G,Municipality,,x,,x,Morgan,1,South Platte,40.255795,-103.790371,G,http://www.cityoffortmorgan.com/,G,http://www.cityoffortmorgan.com/DocumentCenter/Home/View/490,,
"Frederick, Town of",28360,G,2412656,G,62016,G,Frederick,G,CO0162288,G,,N,Frederick,G,Municipality,,x,,x,Weld,1,South Platte,40.109531,-104.966881,G,https://www.frederickco.gov/,G,https://www.frederickco.gov/DocumentCenter/View/533,,
"Garden City, Town of",29185,G,2412667,G,62018,G,,M,CO0140897,G,,N,GardenCity,C,Municipality,,x,,x,Weld,1,South Platte,40.394586,-104.689525,G,http://townofgardencity.com/,G,,,Not in the original BNDSS list
"Genoa, Town of",29680,G,2412675,G,37004,G,,M,CO0137005,G,,N,Genoa,C,Municipality,,x,,x,Lincoln,1,South Platte,39.278264,-103.49931,G,https://www.colorado.gov/townofgenoa,G,,,Not in the original BNDSS list
"Georgetown, Town of",29735,G,2412677,G,10007,G,Georgetown,G,CO0110015,G,,N,Georgetown,G,Municipality,,x,,x,Clear Creek,1,South Platte,39.717971,-105.694229,G,https://www.georgetown-colorado.org/,G,,,
"Gilcrest, Town of",29955,G,2412683,G,62020,G,,M,CO0162310,G,,N,Gilcrest,C,Municipality,,x,,x,Weld,1,South Platte,40.284171,-104.782024,G,http://townofgilcrest.org/,G,,,Not in the original BNDSS list
"Greeley, City of",32155,G,2410654,G,62022,G,Greeley,G,CO0162321,G,,N,Greeley,G,Municipality,,x,,x,Weld,1,South Platte,40.414917,-104.770666,G,https://greeleygov.com/,G,http://cwcbweblink.state.co.us/WebLink/ElectronicFile.aspx?docid=131791&&&&dbid=0,,
"Grover, Town of",33310,G,2412712,G,62023,G,,M,CO0162322,G,,N,Grover,C,Municipality,,x,,x,Weld,1,South Platte,40.869104,-104.225941,G,,M,,,Not in the original BNDSS list
"Haxtun, Town of",34960,G,2412738,G,48004,G,,M,CO0148001,G,,N,Haxtun,C,Municipality,,x,,x,Phillips,1,South Platte,40.641876,-102.629715,G,,M,,,Not in the original BNDSS list
"Hillrose, Town of",36610,G,2412751,G,44007,G,,M,CO0144010,G,,N,Hillrose,C,Municipality,,x,,x,Morgan,1,South Platte,40.324654,-103.522175,G,http://www.hillrosecolorado.org/,G,,,Not in the original BNDSS list
"Holyoke, City of",37270,G,2410781,G,48005,G,Holyoke,G,CO0148005,G,,N,Holyoke,G,Municipality,,x,,x,Phillips,1,South Platte,40.583414,-102.299812,G,http://www.cityofholyoke-co.gov/,G,,,
"Hudson, Town of",37820,G,2412776,G,62029,G,Hudson,G,CO0162359,G,,N,Hudson,G,Municipality,,x,,x,Weld,1,South Platte,40.089828,-104.621449,G,https://hudsoncolorado.org/,G,,,
"Idaho Springs Public Works, City of",38370,G,2410092,G,10008,G,IdahoSpgs,G,CO0110020,G,,N,IdahoSpgs,G,Municipality,,x,,x,Clear Creek,1,South Platte,39.744445,-105.500109,G,http://www.idahospringsco.com/,G,,,
"Iliff, Town of",38590,G,2412788,G,38007,G,,M,CO0138015,G,,N,Iliff,C,Municipality,,x,,x,Logan,1,South Platte,40.759083,-103.066182,G,,M,,,Not in the original BNDSS list
"Jamestown, Town of",39195,G,2412800,G,7018,G,Jamestown,G,CO0107401,G,,N,Jamestown,G,Municipality,,x,,x,Boulder,1,South Platte,40.118344,-105.39163,G,http://www.jamestownco.org/,G,,,
Johnstown Water-Sewer Trash,39855,G,2412807,G,64266,G,JohnstownWST,G,CO0162418,G,,N,JohnstownWST,G,Municipality,,x,,x,"Larimer, Weld",2,South Platte,40.349893,-104.948157,G,http://www.townofjohnstown.com/,G,,,
"Julesburg, Town of",39965,G,2412812,G,58004,G,,M,CO0158001,G,,N,Julesburg,C,Municipality,,x,,x,Sedgwick,1,South Platte,40.984514,-102.26276,G,http://www.townofjulesburg.com/,G,,,Not in the original BNDSS list
"Keenesburg, Town of",40185,G,2412820,G,62033,G,Keenesburg,G,CO0162438,G,,N,Keenesburg,G,Municipality,,x,,x,Weld,1,South Platte,40.11158,-104.503505,G,https://www.townofkeenesburg.com/,G,,,
"Kersey, Town of",40515,G,2412828,G,62035,G,Kersey,G,CO0055558,G,,N,Kersey,G,Municipality,,x,,x,Weld,1,South Platte,40.387783,-104.564447,G,http://www.townofkersey.com/,G,,,
"Kiowa, Town of",40790,G,2412838,G,20005,G,Kiowa,G,CO0120015,G,,N,Kiowa,G,Municipality,,x,,x,Elbert,1,South Platte,39.343041,-104.455417,G,http://www.townofkiowa.com/,G,,,
"La Salle, Town of",43605,G,2412856,G,62037,G,,M,CO0162466,G,,N,LaSalle,C,Municipality,,x,,x,Weld,1,South Platte,40.34848,-104.706165,G,http://www.lasalletown.com/,G,,,Not in the original BNDSS list
"Lafayette, City of",41835,G,2411592,G,7020,G,Lafayette,G,CO0107473,G,,N,Lafayette,G,Municipality,,x,,x,Boulder,1,South Platte,39.994674,-105.099662,G,https://www.cityoflafayette.com/,G,http://cwcbweblink.state.co.us/WebLink/0/doc/139908/Electronic.aspx,,
Left Hand Water District,,N,,N,64194,G,LHWD,G,CO0107471,G,,N,LHWD,G,Water District,,x,,x,"Boulder, Broomfield, Weld",3,South Platte,40.109368,-105.129683,G,www.lefthandwater.org,G,,,
Little Thompson Water District,,N,,N,64083,G,LTWD,G,CO0135477,G,,N,LTWD,G,Water District,,x,,x,"Boulder, Larimer, Weld",3,South Platte,40.321384,-105.016613,G,http://ltwd.org/,G,,,
"Lochbuie, Town of",45530,G,2412905,G,62038,G,Lochbuie,G,CO0162486,G,,N,Lochbuie,G,Municipality,,x,,x,"Adams, Weld",2,South Platte,40.011701,-104.727105,G,http://www.lochbuie.org/,G,,,
"Log Lane Village, Town of",45695,G,2412910,G,44009,G,LogLaneVlg,G,CO0144015,G,,N,LogLaneVlg,G,Municipality,,x,,x,Morgan,1,South Platte,40.270438,-103.829708,G,,M,,,
"Longmont, City of",45970,G,2410869,G,64205,G,Longmont,G,CO0107485,G,,N,Longmont,G,Municipality,,x,,x,"Boulder, Weld",2,South Platte,40.169066,-105.099499,G,https://www.longmontcolorado.gov/,G,https://www.longmontcolorado.gov/home/showdocument?id=18063,,
Longs Peak Water District,,N,,N,64206,G,,M,CO0107486,G,,N,LongsPeakWD,C,Water District,,x,,x,"Boulder, Weld",2,South Platte,40.214782,-105.095816,G,www.lpwd.org,G,,,Not in the original BNDSS list
"Louisville, City of",46355,G,2410884,G,7029,G,Louisville,G,CO0107487,G,,N,Louisville,G,Municipality,,x,,x,Boulder,1,South Platte,39.970949,-105.14402,G,http://www.louisvilleco.gov/,G,http://cwcbweblink.state.co.us/WebLink/0/doc/194864/Electronic.aspx,,
"Loveland, City of",46465,G,2410886,G,35026,G,Loveland,G,CO0135485,G,,N,Loveland,G,Municipality,,x,,x,Larimer,1,South Platte,40.416724,-105.062065,G,http://www.cityofloveland.org/,G,http://www.ci.loveland.co.us/home/showdocument?id=17846,,
"Lyons, Town of",47070,G,2412930,G,7032,G,Lyons,G,CO0107496,G,,N,Lyons,G,Municipality,,x,,x,Boulder,1,South Platte,40.222857,-105.268858,G,http://www.townoflyons.com/,G,,,
"Mead, Town of",49600,G,2412970,G,62040,G,,M,CO0162500,G,,N,Mead,C,Municipality,,x,,x,Weld,1,South Platte,40.232164,-104.992771,G,http://www.townofmead.org/,G,,,Not in the original BNDSS list
"Merino, Town of",50040,G,2412985,G,38011,G,,M,CO0138025,G,,N,Merino,C,Municipality,,x,,x,Logan,1,South Platte,40.483696,-103.353644,G,http://town.merino.co.us/,G,,,Not in the original BNDSS list
"Milliken, Town of",50480,G,2413000,G,62043,G,Milliken,G,CO0162511,G,,N,Milliken,G,Municipality,,x,,x,Weld,1,South Platte,40.310302,-104.85572,G,http://millikenco.gov/,G,,,
Miners Mesa Residential Metropolitan District,,N,,N,24010,G,MinersMesaResMD,G,,M,,N,MinersMesaResMD,G,Metropolitan District,,x,,x,Gilpin,1,South Platte,40.186886,-105.073227,g1,,M,,,
Morgan County Quality Water District,,N,,N,64094,G,MCQWD,G,CO0144020,G,,N,MCQWD,G,Water District,,x,,x,"Morgan, Washington",2,South Platte,40.296777,-103.837642,G,https://www.mcqwd.org/,G,,,
Mountain Water and Sanitation District,,N,,N,64095,G,MtnWSD,G,CO0130100,G,,N,MtnWSD,G,Water and Sanitation District,,x,,x,"Clear Creek, Jefferson, Park",3,South Platte,39.499725,-105.35472,G,www.mtwaterandsan.com,G,,,
"Nederland, Town of",53175,G,2413037,G,7033,G,,M,CO0107538,G,,N,Nederland,C,Municipality,,x,,x,Boulder,1,South Platte,39.96328,-105.507173,G,http://nederlandco.org/,G,,,Not in the original BNDSS list
North Carter Lake Water District,,N,,N,35029,G,NCarterLakeWD,G,CO0135553,G,,N,NCarterLakeWD,G,Water District,,x,,x,Larimer,1,South Platte,40.362093,-105.235004,G,http://nclwd.org/,G,,,
North Weld County Water District,,N,,N,64103,G,NWCWD,G,CO0162553,G,,N,NWCWD,G,Water District,,x,,x,"Larimer, Weld",2,South Platte,40.528472,-104.721275,G,www.nwcwd.org,G,,,
Northern Colorado Water Conservancy District,,N,,N,64105,G,NCWCD,G,,N,,N,NCWCD,G,Water Conservancy District,,x,,x,"Boulder, Broomfield, Larimer, Logan, Morgan, Sedgwick, Washington, Weld",8,South Platte,40.442862,-104.403662,G,http://www.northernwater.org/sf/Home,G,,,Not in the Covered Entities database
"Nunn, Town of",55045,G,2413059,G,62045,G,,M,CO0162559,G,,N,Nunn,C,Municipality,,x,,x,Weld,1,South Platte,40.713256,-104.788313,G,http://www.nunncolorado.com/,G,,,Not in the original BNDSS list
"Otis, Town of",56365,G,2413094,G,61006,G,Otis,G,CO0161010,G,,N,Otis,G,Municipality,,x,,x,Washington,1,South Platte,40.150129,-102.962139,G,https://www.colorado.gov/pacific/townofotis,G,,,
"Ovid, Town of",56475,G,2413096,G,58007,G,Ovid,G,CO0158005,G,,N,Ovid,G,Municipality,,x,,x,Sedgwick,1,South Platte,40.960818,-102.388343,G,http://www.ovidcolorado.com/,G,,,
"Paoli, Town of",57245,G,2413107,G,48006,G,,M,CO0148010,G,,N,Paoli,C,Municipality,,x,,x,Phillips,1,South Platte,40.612758,-102.471769,G,,M,,,Not in the original BNDSS list
"Peetz, Town of",58235,G,2413123,G,38016,G,Peetz,G,CO0138030,G,,N,Peetz,G,Municipality,,x,,x,Logan,1,South Platte,40.961878,-103.113943,G,https://www.sites.google.com/site/townofpeetz/,G,,,
